Country Name;Country Code;Indicator Name;Indicator Code;1996;1998;2000;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Column1
Argentina;ARG;Control of Corruption: Estimate;CC.EST;-1,01317E+14;-2,03482E+13;-1,72408E+14;-4,17056E+14;-4,79977E+14;-4,1441E+14;-3,77738E+14;-3,31239E+13;-3,72122E+14;-4,34875E+14;-4,45475E+14;-3,5523E+14;-3,64099E+14;-4,45909E+14;-4,34016E+14;-5,49443E+14;-5,80869E+14;-2,98965E+14;-3,08798E+14;-9,86682E+13;-1,0694E+14;-1,63781E+13;-4,22273E+14;-4,4703E+14;
Argentina;ARG;Control of Corruption: Number of Sources;CC.NO.SRC;6;6;6;7;8;10;10;13;13;13;15;15;16;16;15;14;14;14;14;14;14;13;12;11;
Argentina;ARG;Control of Corruption: Percentile Rank;CC.PER.RNK;5,37634E+14;5,02674E+14;5,21277E+14;4,17989E+13;4,02116E+14;3,99015E+14;4,34146E+14;4,34146E+14;4,41748E+14;3,98058E+14;4,01914E+14;4,47619E+13;4,36019E+14;4,02844E+14;4,07583E+14;3,55769E+14;3,38095E+14;4,57143E+14;4,42857E+14;5,38095E+14;5,28571E+14;4,7619E+14;3,80952E+14;3,63208E+14;
Argentina;ARG;Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval;CC.PER.RNK.LOWER;3,87097E+14;3,68984E+14;3,88298E+14;3,1746E+14;2,59259E+14;2,95567E+14;3,12195E+14;3,46341E+13;3,15534E+14;2,86408E+14;2,67943E+14;3,19048E+14;3,31754E+14;2,891E+14;2,891E+14;2,45192E+13;2,33333E+14;3,52381E+13;3,80952E+14;4,38095E+14;4,28571E+14;3,90476E+14;2,7619E+13;2,45283E+14;
Argentina;ARG;Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval;CC.PER.RNK.UPPER;6,29032E+14;5,82888E+14;6,06383E+13;5,18519E+14;5,07937E+14;5,07389E+14;5,31707E+14;5,5122E+14;5,33981E+14;5,29126E+14;5,21531E+14;5,42857E+14;5,45024E+13;5,16588E+14;5,21327E+14;4,61538E+14;4,42857E+14;5,47619E+13;5,33333E+14;5,80952E+14;5,85714E+14;5,85714E+14;4,95238E+13;4,81132E+13;
Argentina;ARG;Control of Corruption: Standard Error;CC.STD.ERR;2,10325E+14;1,88628E+13;1,99174E+14;1,79225E+14;1,70875E+14;1,59383E+13;1,59239E+14;1,49063E+14;1,5473E+13;1,53572E+14;1,53026E+14;1,56814E+14;1,46024E+14;1,37697E+13;1,3809E+14;1,3403E+14;1,35182E+14;1,36511E+14;1,23802E+14;1,26672E+14;1,34962E+14;1,43402E+14;1,59935E+14;1,5816E+13;
Argentina;ARG;Government Effectiveness: Estimate;GE.EST;1,6569E+14;3,28712E+14;-2,80387E+14;-2,28479E+14;-3,422E+14;1,51974E+13;-9,79791E+14;-3,39163E+14;-1,25325E+14;-1,23509E+14;-2,94032E+14;-1,11792E+12;-7,23611E+14;-2,06967E+14;-2,53539E+14;-1,1076E+14;-4,93511E+14;2,19069E+14;1,35E+14;2,80941E+14;-1,20678E+14;-2,53818E+14;-3,89672E+14;-2,82877E+14;
Argentina;ARG;Government Effectiveness: Number of Sources;GE.NO.SRC;6;5;5;7;7;8;8;10;10;9;10;10;10;10;10;10;10;10;10;10;10;9;8;8;
Argentina;ARG;Government Effectiveness: Percentile Rank;GE.PER.RNK;6,01093E+14;6,39344E+14;5,46448E+14;4,81081E+14;5,51351E+14;5,72139E+14;5,29412E+14;5,36585E+14;5,38835E+14;5,24272E+14;4,73684E+14;5,16746E+14;5,35545E+13;4,64455E+13;4,54976E+13;4,95192E+13;5,09524E+14;6,38095E+14;5,85714E+14;5,28571E+14;4,80952E+14;4,33333E+14;3,71429E+14;4,19811E+14;
